,Comment
76,1경기 트타 아쉬운 장면이 많이 나왔다...
77,즉사대마왕 징그러운 미드차이 ㅋㅋㅋ
78,들쑥날쑥했지만 꾸역꾸역 비볐지만 안되는건안되는거다. 정돈안된플레이들도많이나왔고 그래도 졌잘싸 빈이 게임을 가지고노네
79,이젠 정말로 올해까진가보다ㅋㅋㅋ 더이상 팀원에게 피해주지말고 여기까지만 하자 그동안 수고했다^^짝짝짝
80,역대급 미드차이 미드가 왜 황족미드인지 왜 전패따리 3군급 미드 포비가 경기뛰니까 제오구케가 박살났는지 미드에 수준미달 선수가 앉으면 나머지 라인이 세계 최정상급 선수여도 이기기 힘든지 그걸을 보여준 경기
81,제오구케의 커리어를 돌려줘
82,이 경기가 끝이 아닌 시작으로 월즈 우승까지 늘 응원하겠습니다 이기고 지고에 상관없이 언제나 응원하는 우리가 있으니 힘내세요 꾸준하게 성장하는 한결같은 T1이니까ㅎ 제오페구케 경기 보는것만으로 행복합니다 내일 경기 보지못해 아쉽지만 주말 단 하루라도 행복하게 응원 할수있는 기회를 줘서 감사합니다 응원해주신 팬분들도 모두 행복하세요! 화이팅ㅎ
83,제오구케 오늘 좀 불쌍하다..... 구마 안티수준이었는데 오늘 개잘했는데 우스랑;;..
84,초반 2킬먹고시작한 트타로 이렇게 까지 못하는건 진짜 오랜만에 보네 1세트는 무조건 이겼어야 했음
85,T1은 lpl에게 집니다
86,티원팬들은 더이상 페이커가 세계최고가 아니라 였던 선수란걸 알아야한다
87,실력이 되면 비난을 하지만 실력도 없는 애들이 비판을 하니 가당치도 않다..... 너네 미래나 생각하면서 비판을해라 백날 여서 비판해도 너네 저 대회 세팅에 투입도 못한다 그게 현실이고 팩트다.... 겐지는 대한민국 대표로서 우승해주시길 부탁드리고요!
88,솔직히 미드 쵸비였으면 무조건 잡았을듯함.... 페이커 폼 너무 아쉽네
89,진짜 미드차이 너무 하더라
90,그미드 결국 아지르원툴 이라고 했다가 띠딱이들이 ㅋㅋㅋ 페이커를 챔프폭으로 까네 하더니 결국 아지르 뽀록토스 원툴 ㅋㅋ
91,게임 재밌었으면 개추 ㅋㅋ
92,페이커님 다시 폼 올라왔으면..!!!
93,1세트 트타 진짜 똥상혁 ㅋㅋㅋㅋㅋㅋㅋㅋ 그거때문에 진거임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너희들도 킹존 수영해서 오라했지? 수영해서와
