,Comment
1064,진짜 포이즌말 듣자 케이셉
1065,진짜 감 다 살았네ㅋㅋㅋ
1066,AK47 음원 발매 되고 이것만 기다렸다 개추 ㅋㅋ
1067,포이즌 지안씨랑 너무 잘 어울리는데ㅋㅋ 적극적인 여자
1068,케이셉형 포이즌형 앞으로도 화이팅
1069,뽀득뽀득ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1070,200만에 이난리면 1000만뷰때는 정신 나갈듯  ㅋㅋ
1071,포이즌 여성 팬분 제 취향입니다...  사랑합니다..
1072,오랜만이ㅣㅣ ㅈㄴ 웃엇네
1073,포이즌도 행복하게해주세요
1074,체급차이는 무시 못한다는 것을 몸소 증명하는 포이즌
1075,ㅋㅋㅋㅋㅋ케이셉 웃음 터지는거 ㅈㄴ웃기네
1076,맨스티어만 나오길 기다렸으면 개추
1077,아니 케이셉은 중간중간 진텐으로 웃는데 이색잌ㅋㅋㅋ
1078,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1079,포이즌 귀엽네
1080,포이즌이 대장이고 케이셉은 슬금슬금 기어오르는게 개웃기네ㅋㅋㅋ
1081,해피엔딩이라 뿌듯하네요 ㅎㅎ
1082,국힙원탑 먹은 게이셉이랑 포르노 폼 미쳤다
1083,포이즌 폼 미쳤네 ㅋㅋㅋ
1084,와앀ㅋㅋㅋㅋ진짜 이번편은 미친놈들이닼ㅋㅋㅋㅋ
1085,케이셉 여친 스펙 진짜 ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1086,포이즌하고 여자분 잘되면 진짜 재밌겠다ㅋ
1087,ㅇㄴ 시쟐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 포이즌 마지막에 쥰내 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1088,진짜 여친 나오고부터 ㅈㄴ웃기네ㅋㅋㄲㅋㅋㅋㅋ
1089,아 미치겠닼ㅋㅋㅋㅋㅋ
1090,아 잠만 이거 계속보면
1091,포이즌 화났는데도 딕션 개좋네ㅋㅋㅋㅋ
1092,600만 ㅊㅋㅊㅋ ㅋㅋㅋㅋㅋㅋ
1093,이건선넘엇다 ㄹㅇ
1094,저 의자 메이커 어딘가요.... 두명이 앉아도 끄떡없네 ㅎㅎ
1095,같은 헤비급이라 잘어울리네요 평생가세요 포이즌님
1096,쿠로미타투 멘헤라공원 트위터 여부 정신병약 여부 인스타 스토리 10개이상 고양이 두마리 이상
1097,자기들끼리 웃참하는것도 개웃기넼ㅋㅋㅋㅋ
1098,케이셉 웃음 못참는게 ㄹㅇ 킬포ㅋㅋㅋㅋ
1099,스스로 논란거리 만들어서 국힙 밸런스 유지하려는 모습에 겸손함을 배웠습니다
1100,포이즌 잘 하는걸 네가 어떻게 알아 케이셉...?
1101,와 진짜 살다가 본것중에 제일웃기네 ㅋㅋㅋㅋ 왠만해선 무표정으로 2-3분 보다가 딴거 봤을탠데 ㅋㅋㅋㅋㅋㅋㅋㅋ
1102,와..와썹..
1103,'NO' 에서 느껴지는 절박감이 쏘우에서 당하는 사람 같아 ㄷㄷ
1104,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨 ㅋㅋㅌㅋㅋㅋㅋ 뽀득뽀득 가이 ㅋㅋㅋㅌㅋㅋㅋ
1105,1. 나는 하루에 인스타 15개이상올리는가 2. 쿠로미 문신이있는가 3. 정신병약을먹는가  4. 1주일에 3회이상 경의선 멘헤라 공원에 가는가 5. 트위터를 하는가  6. 집에 고양이 두마리이상 키우는가 7. 고양이 예방접종은 했는가 8. 3.1절이 뭐하는날인가
1106,진짜 ㅈㄴ 웃김 4번은 본듯
1107,이정도면 포이즌
1108,케이셉 빈지노가 언급안해줬다고 소신발언하는거 ㅈㄴ웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1109,1분전 딱대 케이셉
1110,근데 풍자 진짜 존나 잘한다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1111,너무 예쁘다.
1112,진짜 웃참 실패하는 것 보면  더 ㄹㅈㄷ네 ㅋㅋㅋ
1113,우리 포이즌 살려줘!!!!!!!!
1114,기세가 하늘 끝까지 치고 올라가서 흐뭇한 제우형이면 개추ㅋㅋ
1115,포이즌 데이트 영상 기다려진다
1116,여자출연자분 웃참 진짜 ㅈㄴ잘하네 ㅋㅋㅋㅋㅋㅋㅋ 나였으면 개빠갰을듯 ㅋㅋㅋ
1117,이시온씨. 담번 영상에서 수아씨에게 맞으며 시작하겠군요.
1118,포이즌 진짜 개귀엽네ㅋㅋ
1119,포이즌 개 똑똑해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1120,갤럭시워치쓰는 포이슨 너무 잘한다
1121,이 에피소드에 마픽스 피쳐링 했었으면 대박이었을듯.
1122,아버지 한번 출연시켜야된다 이쯤되면 ㅋㅋㅋㅋㅋㅋㅋㅋ 아버님 화이팅
1123,케이셉 개웃기고 포이즌 미치겠다 아 그냥 다웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1124,아니 mz를 찾아서 에서 부터 계속 쿠션으로 오지게 맞넼ㅋㅋㅋ
1125,이정도면 랩퍼인지 유튜버인지 헷갈릴 듯
1126,와 원주여신 이백선이다…
1127,포이즌이 작아보인건 첨이야 tq
1128,ㅋㅋㅋ 중독 쩜 ㅋㅋㅋ
1129,쿠로미 좋아하면 걸러라는게 요즘 세상에 진리다
1130,ㅋㅋㅋㅋㅋ케이셉 여친 지뢰계 특징 다 모아놨노 ㅋㅋㅋㅋㅋㅋㅋㅋ
1131,뿌득뿌득 가이ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1132,케이셉 비니 벗을때 왤케 잘생겼냐
1133,삔또 상하게했다고 팔로우 취소한다는것도 풍자해버리는 대이셉 ㄷㄷ
1134,진짜 줫나 웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1135,포이즌이 케이셉 여자친구뺏자. 막말에 상남자같은매력느껴시
1136,ㅋㅋㅋㅋㅋㅋㅋ 겁나 웃기네ㅋㅋㅋ 씹어먹는 제스쳨ㅋㅋㅋㅋ 케이셉 특유의 웃참하면서 웃는것도 댕웃김ㅋㅋㅋ
1137,포이즌 천적등장?(?)
1138,팩트) 저런 이목구비는 긁지 않은 복권이다
1139,뽀득뽀득가이 ㅋㅋㅋㅋㅋㅋㅋㅋ
1140,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이번 영상 ㅈㄴ웃기네
1141,사이렌 울리는거랑 뽀득뽀득 보이~ 에서 미친 사람처럼 웃었넼ㅋㅋㅋㅋㅋㅋㅋ
1142,포이즌 팬 긁으면 예쁠거 같은데 ㅋㅋㅋㅋㅋ 포이즌 파이팅
1143,이번 편 개레전드다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1144,확실히 힙찔이들이 많긴한가보다 이 나라에
1145,울려대는 사이렌 텅 빈 길거리엔 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1146,이럴때만 친해지는 케이셉과 포이즌
1147,포이즌님. 명칭(빈지노의 수호자)을 얻으셨습니다.
1148,“Don't cross the line
1149,가재맨은 뺏네ㅋㅋㅋ
1150,권도형이 유튜브도 하네
1151,포이즌 공습경보 미쳤네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1152,진용진 폼 미쳤따
1153,둘다 남매인줄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1154,포이즌 좋아 죽네 ㅋㅋㅋ
1155,오늘밤 너 죽여놓는데  개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ
1156,진짜 어떡해….
1157,너희~ 형섭이가 샤라웃했어
1158,갈수록 내레이션 은근 슬쩍 극딜 넣는거  ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋ
1159,존나 성공했어 케이셉
1160,이목구비랑 피부는 진짜 이쁜데 ㄹㅇ 생각보다 그게 덜 중요한 요소구나......
1161,쿠로미 문신은 전설이다 ㄹㅇ 포이즌이 친구를 소중하게 생각하네
1162,작가 천재 아님? ㅋㅋ
1163,말끝마다 케이셉 케이셉 킹받네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1164,대한민국 출산율에 기여ㅋㅋㅋ
1165,촬영하는 사람 피식피식 웃으면서 어떻게 웃참할지 궁금 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1166,ㄹㅇ 국힙원탑
1167,케이셉!!!!돔 황 챠!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1168,당근을 흔들어주세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1169,이센스가 최고라고 고함까지 질렀는데 ㅠㅠ
1170,포이즌은 이쁠수록 고개를 숙인다.
1171,밤양갱 Ai인거 처음알았놐ㅋㅋ
1172,아무도 웃참못하는게 진짜 웃긴부분 ㅋㅋㅋㅋㅋㅋㅋ
1173,AK47 맞고 사망한 포이즌 그 말대로 극락을 47가버렸지
1174,진짜 존나웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㄴㄴ
1175,포이즌의 옆을 스쳐가는 오열과 통곡
1176,30분  귀여운 강아쥐를 기다리는데 코끼리가 와서 감동먹은 포이즌
1177,케이셉 바람피네;; 수아누나는 어쩌고
1178,백선씨한테 무례한거 바로 갚아버리네 ㅋㅋㅋ
1179,이건 진짜 포이즌 씹 하드캐리다 ㅋㄱㅋㄱㅋㄱㅋ
1180,진짜 포이즌 줫나 웋기네
1181,포이즌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㄱㅋㅋㅋㅈㄴ 쌈뽕하네
1182,여자분 넘 이쁘다.
1183,사이렌이 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1184,아니 이shakki들 왜 내 웃음벨이 됐지 ㅋㅋㅋ
1185,지안이형 라면 사르르 삼키는 사람같음
1186,마지막에 너무 역겨워서 겨우봤다 ㅋㅋㅋ
1187,국힘 먹을때 말왕 흉내내는거 지렸다 ㅋㅋㅋㅋ
1188,ㅋㅋㅋㅋㅋㅋㅋㅋ포이즌 ㅈㄴ웃겨 ㅋㅋㅋㅋㅋㅋ
1189,아 정도껏 웃겨야지 너무하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1190,포이즌이 저렇게 말할 권한이 있는지 깨닫는데 오래 걸림
1191,초면에 무례한 질문들 하니까 고의로 뚱녀 소개시켜줘서 엿맥이는거같네ㅋㅋ
1192,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 뭐 어찌할 수 없게 줘팼네 ㅋㅋㅋㅋㅋㅋㅋ 이센스 씹퇴물될 듯 ㅋㅋㅋㅋ 힙합력 제로야 ㄹㅇ
1193,이대로 빈지노랑 디스랩까지 드가잨ㅋㅋㅋㅋㅋㅋㅋ
1194,포이즌 왜케 귀엽짘ㅋㅋㅋㅋ
1195,포이즌진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 감다살 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1196,맨스티어 언제 나오누?
1197,시발 ak47 노래방에서불렀는데 부르기 힘든 부분도 있더라 얘네들 래퍼 맞다
1198,여자분 약간 공혁준 닮으셨다.ㅋㅋㅋㅋㅋㅋ
1199,뭔풍뭔풍ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1200,흔들리는 케이셉
1201,딴건 다 이해해도 3월 1일 모르는건 아니다 ㅋㅋㅋ
1202,도방처  케이셉ㅋㅋㅋㅋㅋ개육곀ㅋㅋㅋ 내띵작 ㅠㅠ
1203,빈지노를 깔수있는 유일한 래퍼 케이셉
1204,근데 ak47은 모두 제우님이 작곡하셨나요?
1205,Look at this~~
1206,포이즌이랑 소개녀 닮은거 ㄹㅈㄷ ㄷㄷ
1207,둘이 잘 어울리구만 왜
1208,이제 너네 영상없으면 허전해서 못살겠어 ㅠㅠㅠㅠㅠㅠ
1209,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ킄ㅋㅋㅋㅋㅋ
1210,뽀득뽀득boy 미쳤나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1211,뿌득뿌득 guy 뜻이 뭐에요??
1212,쿠로미 ㅋㄱㅋㅋㄱㅋㅋㄱㅋㄱㅋㅋㅋ ㅋㅋㅋㄱ
1213,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1214,햄스티어 승승장구하자!!!
1215,포이즌 연전연승 류준열 보고있나?  도망쳐!!!!
1216,진짜 거를 타선이 없네
1217,케이셉 모자 안쓰니까 왜 멋지냐 ㅋㅋ
1218,GOAT
1219,I don't scare your father은 십 ㅋㅋㅋㅋ
1220,아이고 배 아파 존나게웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ포이즌ㅋ'ㅋㅋㅋㅋ급발진
1221,포이즌 폼 뒤진다ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1222,진짜 쇼츠로 보고 미친듯이 기다렸다
1223,근데 진짜 빈지노 모르겠음 빈지노vs이센스 하면 닥 이센스 아님? 재지팩트 뭐 다들어봤는데 너무 귀염귀염이미지라 느낌도 모르겠고
1224,케이셉이랑 선이 진짜 커플인가요? 아니죠?
1225,케이셉 영어할때 이수지님 제니같아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1226,포이즌 덩치 두배네 ㅋㅋㅋ
1227,포이즌 목에 미쉐린 있네 ㅋㅋㅋㅋㅋ
1228,케이셉이 AK47 챌린지 만들자고 하고 포이즌이 그건 래퍼가 아니라면서 싸우는거 보고 싶습니다ㅋㅋㅋㅋ
1229,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1230,울려되는 사이렌 왜캐웃기냨ㅋㅋㅋㅋ
1231,물들어올때 모터를 단뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현명해.
1232,외모만 따지면 두번째 여자분이 포이즌보다 훨 나은게 팩트
1233,케이셉 존나 부럽다 개이쁘네 여친 ㄷㄷ
1234,아 .. 개웃기네 올타임..
1235,포이즌 존나 기엽네
1236,아니 이루징 언니가 여기서 왜 나오냐ㅋㅋㅋ
1237,ㅋㅋㅋㅋㅋㅋ아 존나웃겨 영상
1238,케이쎕 패드립 천재 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1239,음원 대박나서 외삼촌앞에서 꺼드럭대는 케이셉 보고싶다
1240,케이셉 일베안한다는게 더 충격이네 ㅋㅋㅋ
1241,산리오 캐릭터 문신보고 기겁해서 도망치라는거 존나 웃기네 ㅋㅋㅋㅋ
1242,개웃곀ㅋㅋㅋㅋㅋㅋㅋ
1243,순간 국힘을 찍어눌렀다는줄
1244,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1245,이거 또 보고 싶은데 제목 기억 안나서 케이셉 도망쳐 치니까 바로 나오네 ㅋㅋㅋㅋㅋ
1246,아 진짜 개웃겨서 힘듷ㅁ
1247,질문에 액정 깨진 아이폰 사용여부가 빠졌네요.
1248,중간중간 현타+현웃 존나웃기네ㅋㅋㅋ
1249,젠장 또 포이즌이야...
1250,녹음실에서 꾼내 날꺼같은데 잘참네 ㅋㅋㅋㅋ
1251,뽀득뽀득가이가 존나웃김 ㅋㅋ
1252,왜 보나했는데 통통한분 개웃ㄱ다 ㅋㅋㅋㅋ
1253,아 개웃기넼ㅋㅋㅋㅋㅋㅋ
1254,녹음실의 굴욕
1255,포이즌 판독기 확실하네...
1256,사이언스 사이언스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 포이즌 개웃기네
1257,이백선이 보러 달려드네
1258,근데 노래 좋긴 좋더라 ㅋㅋㅋㅋㅋ
1259,노..  천번 한거 아니냐 ㅋㅋㅋㅋ
1260,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1261,뽀득뽀득 guy ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1262,말보다 삐처리가 더 많은 영상
1263,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과학이란 과학은 다 가지고있네 ㅋㅋㅋㅋㅋㅋㅋ
1264,케이셉 entp 그자체인데 ㅋㅋㅋㅋ 개웃김
1265,보는 사람 진짜 별로 없었는데 인기 많아졌네 ㅋㅋㅋㅋ
1266,케이셉 선아랑 헤어지면 디스곡 바로 조지겠네 ㅋㅋㅋㅋㅋ
1267,도망쳐 케이셉!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1268,케이셉 이시온일때는 예빈씨랑 사귀더니 여기서도 호강하네
1269,여성분 피지컬 미쳤다
1270,나 호구야? 에서 케이셉 웃참하느라 숨떨리는거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1271,케이셉 웃참하는게 존나웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1272,어찌됐든 역사야 ㅋㅋㅋ
1273,최제우 머리 내리니까 왜 잘생겼냐
1274,형들 내 알고리즘에 뜰 때부터 성공할 거란걸 알고있었어!
1275,케이쎕 얘기 안했다고 욕할줄 알았다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1276,빈지노 팔로우 취소해로 노래 하나 나올수 있을거같은데ㅎ
1277,다들 웃참 실패하고 무너지는거 개웃기네 ㅋㅋㅋㅋ
1278,포이즌 여친 뚱녀 폼 미쳤고~~~~
1279,가재맨 샤라웃한건 안나오노
1280,Wow
1281,뮤지컬이랑 순풍 산부인과 드립은 애드립이었을 것 같다 ㅎㅎ
1282,진짜 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1283,알다깬 포이즌 ㄷㄷ
1284,포이즌은 고말숙이지
1285,더이상은 못보겠네 웃겨서 하
1286,노를 저어야된다고!
1287,솔직히 포이즌이랑 미스 포이즌 2 잘어울린다고 생각해요
1288,뿌득뿌득 가이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1289,뽀득뽀득 가이 몇초임?
1290,강예빈 출연시켜라
1291,아니 우리 동네는파트 귀에 맴돈다는건 케이셉 칭찬 아님?
1292,스토리 15개 쿠로미 타투 경의선  트위터 고양이 두마리..     니게로..!!
1293,와 케이셉 연기 개잘한다  죽빵 ㅈㄴ갈기고 싶은 개 찐ㄸ 상 연기 진짜 허세에 쩌든 성인 찐ㄸ같음
1294,도서관에서 보는데 웃참 ㅈㄴ 힘드네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1295,스탑이 이렇게 처절할줄이야 ㅋㅋㅋ
1296,L O O K   A T  T H I S ! ! ! !
1297,살뺴면 되게 이쁠것 같은 포이즌 소개팅 녀. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1298,지금은 853만 ㄷㄷ
1299,패드립 개잘하는 래퍼 1위
1300,싸인줄~
1301,포이즌 악소리47번 외쳤겠네
1302,여자 케이셉 여자 포이즌 폼 미쳤다
1303,근데 실제론 케이셉보다 포이즌이 여자한테 인기 더 많을 듯
1304,실제 포이즌 아버지 등판하면 레전드
1305,빨리달려 빨리튀어 포이즌
1306,포이즌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1307,수아누나 극대노소리 여기까지들리네 에헤이 조졌네 이거
1308,ㅈㄴ웃긴다근데 ㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 밥먹다가 개뿜음 ㅋㅋㅋㅋ
1309,멘시티 웃참하는거 개웃기네 ㅋㅋㅋ
1310,밥먹다가 전현배등장까지 오케이 참고먹어 근데 덥다덥다 저거 상의 밧줄 풀으려할때 그냥 껏다 ;;;; 내눈
1311,38분 고봉밥 존나 행복하네 ㅋㅋㅋㅋㅋㅋㅋ
1312,이거 뭔데 내 알고리즘에 떴지 ㅎㅎ
1313,케이셉 그냥 구경꾼이네 ㅋㅋㅋㅋㅋㅋㅋ
1314,포이즌 ㅈㄴ웃기네 진짜 ㅋㅋㅋㅋㅋ
1315,2배로 보는 게 개웃기네
1316,저런 사람 예쁘다고 소개해주는건 다시 보지 말자고 돌려 말하는거 아니냐ㅋㅋㅋㅋ
1317,포이즌 배에 항상 감고있는거 머임?
1318,개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1319,Thㅏ이언스 thㅏ이언스 !
1320,싸이랑 곽튜브 힙합 하는 군요~!
1321,진짜 개웃기네 ㅋㅋㅋㅋㅋㅋ
1322,김하온 캐느팅하면 ㅇㅈㅋㅋㅋㅋㅋㅈㄴ 재밌겠다
1323,셀프 패드립 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1324,와 26분 전화받자마자 파오후 맨만숙 포스 느낌 개소름!
1325,곡명 나왔다 빈지노 팔로우 취소해
1326,둘이 근데 잘 어울림
1327,AI밤양갱 만들어졌다니까 표정관리안되는거 개웃기네 ㅋㅋㅋㅋㅋㅋ
1328,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1329,국힘을 찢은 랩
1330,ㅋㅋㅋㅋㅋㅋㅋ사이렌 소리 울릴 때 에버랜드 직원마냥 손 쳐흔드는 게 존나 웃음벨이네 ㅋㅋㅋㅋㅋㅆㅂㅋㅋㅋ
1331,케이셉 look at this 할때 말왕 생각나네 ㅋㅋ
1332,ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋㅋ
1333,포이즌 원페어
1334,유사인류학자 개웃기네 ㅋㅋㅋㅋ
1335,아 진짜  밤양갱  들은  나를 원망하고싶다  첫날에는  계속  퐘양캥 이  귓가에  맴돌더니  둘째날엔  그걸  입밖으로 꺼내고있는  내가 너무싫다
1336,아멘
1337,쿠로미 문신은 과학이다..
1338,케이셉 볼때마다  뭉쳐야 찬다 류은규같네
1339,스토리 이어지는거 지리네 ㅋㅋ
1340,나같으면 저여자 경찰에 신고했다
1341,우리 할머니가 뛰어도 그거 보단 더 빨리 뛰게끔 뛰어왔다
1342,한국판 트레일러 파크 보이즈
1343,시온아 너 여자친구가....... 집에서 나가라고 할거같은데?
1344,이제는 연기가 아니라 진심이지 않을까..?
1345,쿵쾡이들 발광안하는게 더 웃기네
1346,그럴 것 같더라 ㅋㅋㅋㅋ
1347,그래서 제작비 얼마 들었는데
1348,초딩끼리 싸우는거 같엨ㅋㅋㅋ
1349,이거 맞아?ㅋㅋㅋㅋㅋㅋㅋ
1350,투탑이 싸운 순위는 아니지?
1351,투탑이면 한명 꼴픽이네요?
1352,진짜 ㅋㅋㅋㅋㅋㅋㅋ
1353,ㅋㅋㅋㅋㅋㅋㅋㅋ감다살이다 ㄹㅇㅋㅋㅋㅋㅋㅋㅋ
1354,Gang간Gang ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1355,ㅋㅋㅋㅋ존나웃기네ㅋㅋ뽀득뽀득ㅋㅋㅋㅋㅋㅋㅋㅋ
1356,빈지노 디스랩 내면 좋겠다 개추
1357,당근 보여주는거 ㅈㄴ 웃기네
1358,사이언스 사이언스 할떄 뒤지것다 ㅋㅋㅋㅋ
1359,중간중간에 웃참하는 개 진짜 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1360,포이즌은 남의 여자만 좋아한다고 ㅋㅋㅋ
1361,아니 밤양갱 진짜 존ㄴㄴㄴㄴ나 웃기네 ㅋㅋㅋㅋㅋㅋ
1362,ㅋㅋㅋㅋㅋㅋㅋ 포이즌 연기 존나 쌈@뽕하네 케이셉 웃참 ㅈㄴ못하네 ㅋㅋㅋㅋ
1363,노를 저어야한다고 ㅋㅋㅋㅋㅋ
1364,게이셉의 여친을 뺏을려는 포경즌
1365,존나웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1366,이거 대본있는걸까...
1367,비비가 gang 한다고가 개웃기넼ㅋㅋㅋ
1368,쿠로미 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1369,계속 웃참 실패하는게 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1370,아버지를 욕할때보다 더 격하게 대응하는 포이즌 시발 ㅋㅋㅋ 존나웃기네 ㅋㅋㅋㅋㅋ
1371,와 포이즌… 결말…
1372,케이셉 여친 있는거 아니였음?
1373,얼마전에 멘헤라공원에서 불법쿠라 햇는데 ㅋㅋㅋㅋ
